"CustomerID","Churn_Reason.y","CLTV","Churn_Prob.y","Predicted_Churn.y","Predicted_HighRiskCustomer","Predicted_LowRiskCustomer","Potential_Revenue_Loss","Revenue_Saved_60pct","ROI_60pct"
"0002-ORFBO","",2205,0.0577300910220571,"No",0,1,0,0,-100
"0003-MKNFE","",5414,0.0505683180659141,"No",0,1,0,0,-100
"0004-TLHLJ","Price too high",4479,0.868119299109741,"Yes",1,0,4479,2687.4,-94.6252
"0011-IGKFF","Product dissatisfaction",3714,0.999166404661456,"Yes",1,0,3714,2228.4,-95.5432
"0013-EXCHZ","Network reliability",3464,0.716862498270267,"Yes",1,0,3464,2078.4,-95.8432
"0013-MHZWF","",5108,0.00277636959259088,"No",0,1,0,0,-100
"0013-SMEOE","",5011,2.87690181275214e-06,"No",0,1,0,0,-100
"0014-BMAQU","",4604,0.00031136475111682,"No",0,1,0,0,-100
"0015-UOCOJ","",5525,0.000213217976145451,"No",0,1,0,0,-100
"0016-QLJIS","",5509,8.18430771406933e-08,"No",0,1,0,0,-100
"0017-DINOC","",5435,0.000148726186649855,"No",0,1,0,0,-100
"0017-IUDMW","",6252,0.000107469792495767,"No",0,1,0,0,-100
"0018-NYROU","",5536,0.0284108516796987,"No",0,1,0,0,-100
"0019-EFAEP","",5513,0.000387835502615043,"No",0,1,0,0,-100
"0019-GFNTW","",5795,1.1011131921507e-06,"No",0,1,0,0,-100
"0020-INWCK","",4865,3.29949102758075e-07,"No",0,1,0,0,-100
"0020-JDNXP","",3607,3.71995145389856e-06,"No",0,1,0,0,-100
"0021-IKXGC","",4432,0.01923622160225,"No",0,1,0,0,-100
"0022-TCJCI","Limited range of services",2654,0.98069162237651,"Yes",1,0,2654,1592.4,-96.8152
"0023-HGHWL","Competitor made better offer",5437,0.9975793587125,"Yes",1,0,5437,3262.2,-93.4756
"0023-UYUPN","",4015,0.0025227576863761,"No",0,1,0,0,-100
"0023-XUOPT","Don't know",2973,0.607559783398121,"Yes",1,0,2973,1783.8,-96.4324
"0027-KWYKW","",3585,0.472010318850534,"No",0,1,0,0,-100
"0030-FNXPP","",5634,0.00964497982832103,"No",0,1,0,0,-100
"0031-PVLZI","Competitor had better devices",4133,0.981737545004038,"Yes",1,0,4133,2479.8,-95.0404
"0032-PGELS","Attitude of service provider",5171,0.26270878917593,"No",0,1,0,0,-100
"0036-IHMOT","",5892,0.00760505392590596,"No",0,1,0,0,-100
"0040-HALCW","",6393,5.3322668673483e-05,"No",0,1,0,0,-100
"0042-JVWOJ","",3722,4.50807004589507e-07,"No",0,1,0,0,-100
"0042-RLHYP","",4131,0.00161956039097819,"No",0,1,0,0,-100
"0048-LUMLS","",5263,0.00231767604346538,"No",0,1,0,0,-100
"0048-PIHNL","",6061,2.61053557581146e-07,"No",0,1,0,0,-100
"0052-DCKON","",5845,7.48048271933095e-05,"No",0,1,0,0,-100
"0052-YNYOT","",5462,0.839045846062003,"Yes",1,0,5462,3277.2,-93.4456
"0056-EPFBG","",3899,4.48347084717008e-07,"No",0,1,0,0,-100
"0057-QBUQH","",4797,2.56173009224776e-05,"No",0,1,0,0,-100
"0058-EVZWM","",5875,0.00076324402801669,"No",0,1,0,0,-100
"0060-FUALY","",5238,7.55383724646341e-06,"No",0,1,0,0,-100
"0064-SUDOG","",5190,0.000100986096423466,"No",0,1,0,0,-100
"0064-YIJGF","",4994,7.84952622925173e-05,"No",0,1,0,0,-100
"0067-DKWBL","Competitor had better devices",3475,0.999103577878529,"Yes",1,0,3475,2085,-95.83
"0068-FIGTF","",2297,0.000383199345055203,"No",0,1,0,0,-100
"0071-NDAFP","",5230,0.000285464521647567,"No",0,1,0,0,-100
"0074-HDKDG","",3807,0.0310176961389635,"No",0,1,0,0,-100
"0076-LVEPS","",3290,0.302847039526636,"No",0,1,0,0,-100
"0078-XZMHT","",6322,0.0687737264759438,"No",0,1,0,0,-100
"0080-EMYVY","",4298,0.000348180357518286,"No",0,1,0,0,-100
"0080-OROZO","",3244,6.41262933750862e-05,"No",0,1,0,0,-100
"0082-LDZUE","",4427,0.0164578790942829,"No",0,1,0,0,-100
"0082-OQIQY","",4561,0.0117420272813474,"No",0,1,0,0,-100
"0083-PIVIK","",4761,0.0264911975454993,"No",0,1,0,0,-100
"0089-IIQKO","",4447,8.54999912311527e-05,"No",0,1,0,0,-100
"0093-EXYQL","",5742,0.0410038995678504,"No",0,1,0,0,-100
"0093-XWZFY","Competitor had better devices",2832,0.945605575118621,"Yes",1,0,2832,1699.2,-96.6016
"0094-OIFMO","Product dissatisfaction",5980,0.995058161171577,"Yes",1,0,5980,3588,-92.824
"0096-BXERS","",3442,0.510667368128375,"Yes",1,0,3442,2065.2,-95.8696
"0096-FCPUF","",5039,0.00137845448871995,"No",0,1,0,0,-100
"0098-BOWSO","",3792,5.68833298375992e-05,"No",0,1,0,0,-100
"0100-DUVFC","",5291,0.00635143643989153,"No",0,1,0,0,-100
"0103-CSITQ","",6026,0.0158534943702342,"No",0,1,0,0,-100
"0104-PPXDV","",5232,3.19615423350722e-06,"No",0,1,0,0,-100
"0106-GHRQR","",3360,0.00011822101994651,"No",0,1,0,0,-100
"0106-UGRDO","",4216,6.21845453709244e-05,"No",0,1,0,0,-100
"0107-WESLM","Attitude of support person",3874,0.651534717974395,"Yes",1,0,3874,2324.4,-95.3512
"0107-YHINA","Attitude of support person",4214,0.999699858967218,"Yes",1,0,4214,2528.4,-94.9432
"0111-KLBQG","",2844,0.00957235212172441,"No",0,1,0,0,-100
"0112-QAWRZ","",5560,0.0141940407951847,"No",0,1,0,0,-100
"0112-QWPNC","Competitor offered higher download speeds",6452,0.421965588976682,"No",0,1,0,0,-100
"0114-IGABW","",5224,0.0394421479876849,"No",0,1,0,0,-100
"0114-PEGZZ","",4800,5.200299623975e-05,"No",0,1,0,0,-100
"0114-RSRRW","",3831,0.00794866290048164,"No",0,1,0,0,-100
"0115-TFERT","Attitude of service provider",4123,0.998595778000134,"Yes",1,0,4123,2473.8,-95.0524
"0117-LFRMW","Competitor offered more data",3627,0.347126429479994,"No",0,1,0,0,-100
"0118-JPNOY","",5700,0.000458919102270065,"No",0,1,0,0,-100
"0121-SNYRK","",5052,3.68991477373769e-05,"No",0,1,0,0,-100
"0122-OAHPZ","Price too high",2473,0.91012169616321,"Yes",1,0,2473,1483.8,-97.0324
"0123-CRBRT","",5152,1.60630375827682e-05,"No",0,1,0,0,-100
"0125-LZQXK","Attitude of service provider",3025,0.999756557587532,"Yes",1,0,3025,1815,-96.37
"0128-MKWSG","",3287,2.41195326427038e-05,"No",0,1,0,0,-100
"0129-KPTWJ","",5943,1.84332881311896e-06,"No",0,1,0,0,-100
"0129-QMPDR","",3093,0.000749829808321161,"No",0,1,0,0,-100
"0130-SXOUN","",4889,0.000285520558150643,"No",0,1,0,0,-100
"0133-BMFZO","Competitor offered higher download speeds",3529,0.998108604917524,"Yes",1,0,3529,2117.4,-95.7652
"0134-XWXCE","",3253,0.0421283961540909,"No",0,1,0,0,-100
"0135-NMXAP","Attitude of support person",5671,0.999629118222602,"Yes",1,0,5671,3402.6,-93.1948
"0136-IFMYD","",4297,0.00742923326739092,"No",0,1,0,0,-100
"0137-OCGAB","Lack of affordable download/upload speed",3056,0.99879727208758,"Yes",1,0,3056,1833.6,-96.3328
"0137-UDEUO","Extra data charges",3398,0.993427754354255,"Yes",1,0,3398,2038.8,-95.9224
"0139-IVFJG","",5361,9.305965904834e-05,"No",0,1,0,0,-100
"0141-YEAYS","",5990,0.500205937321075,"Yes",1,0,5990,3594,-92.812
"0142-GVYSN","",5712,0.0205340759560797,"No",0,1,0,0,-100
"0147-ESWWR","",3172,0.778276135866903,"Yes",1,0,3172,1903.2,-96.1936
"0148-DCDOS","Price too high",5641,0.982127863934383,"Yes",1,0,5641,3384.6,-93.2308
"0151-ONTOV","Attitude of support person",4739,0.976187774923219,"Yes",1,0,4739,2843.4,-94.3132
"0156-FVPTA","Attitude of service provider",5102,0.965375178626381,"Yes",1,0,5102,3061.2,-93.8776
